Sentence,Errors
They drank the pub.,[]
The professor talked us.,[]
We yelled ourselves.,[]
We yelled Harry hoarse.,[]
Harry coughed himself.,[]
Harry coughed us into a fit.,[]
They caused him to become angry by making him.,[]
They caused him to become president by making him.,[]
They made him to exhaustion.,[]
The car honked down the road.,[]
The dog barked out of the room.,[]
The witch went into the forest by vanishing.,[]
The building is tall and tall.,[]
This building is taller and taller.,[]
This building got than that one.,[]
This building is than that one.,[]
Bill floated into the cave for hours.,[]
Bill pushed Harry off the sofa for hours.,[]
Bill cried Sue to sleep.,[]
The elevator rumbled itself to the ground.,[]
She yelled hoarse.,[]
Ted cried to sleep.,[]
The ball wriggled itself loose.,[]
"The most you want, the least you eat.",[]
"I demand that the more John eat, the more he pay.",[]
"I demand that John pays more, the more he eat.","[{'ruleId': 'HE_VERB_AGR', 'message': 'The pronoun ‘he’ is usually used with a third-person or a past tense verb.', 'suggestions': ['eats', 'ate']}]"
"You get angrier, the more we eat, don't we.",[]
"The harder it has rained, how much faster a flow that appears in the river?",[]
"The harder it rains, how much faster that do you run?",[]
"The harder it rains, how much faster a flow that do you see in the river?",[]
"As it rains harder, how much faster a flow that appears in the river?",[]
"When it rains harder, how much faster a flow that appears in the river?",[]
"The more John eats, the tighter keep your mouth shut about it.",[]
"The more everyone eat, the more John keeps his big mouth shut about it, OK?",[]
"I can well imagine the more him eating, the fatter him getting.",[]
"Bill can well imagine the more he eats, the fatter getting.",[]
"It is important the more you eat, the more careful to be.",[]
"It is important for the more you eat, the more careful to be.",[]
"It is important the more you to eat, the more careful to be.",[]
"It is important the more you eat, the more careful you to be.",[]
"It is important the more you eat, the more careful for you to be.","[{'ruleId': 'CAREFUL_FOR_WITH', 'message': 'The usual collocation for “careful” is “with”, not “for”. Did you mean “careful with”?', 'suggestions': ['careful with']}]"
"It is important for the more you to eat, the more careful to be.",[]
"It is important for the more you to eat, the more careful for you to be.","[{'ruleId': 'CAREFUL_FOR_WITH', 'message': 'The usual collocation for “careful” is “with”, not “for”. Did you mean “careful with”?', 'suggestions': ['careful with']}]"
"It is important the more you to eat, the more careful for you to be.","[{'ruleId': 'CAREFUL_FOR_WITH', 'message': 'The usual collocation for “careful” is “with”, not “for”. Did you mean “careful with”?', 'suggestions': ['careful with']}]"
"It is important for the more you eat, the more careful you to be.",[]
I can well imagine quickly Mary answering the question.,[]
I can well imagine with a hatchet Mary destroying the Jeep.,[]
"I can well imagine if he eats more, him getting fat.",[]
"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",[]
"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",[]
"The more pictures Mary looked at, she got angrier and angrier.",[]
"His expectations lower, the higher the stakes.",[]
"His expectations lower, the higher the stakes are.",[]
"The more obnoxious Fred, the less attention you should pay to him.",[]
"The more obnoxious Fred, the less you should pay attention to him.",[]
"I don't plan to lock the door, no matter how fancy this hotel.",[]
"I'm going out, wherever that hurricane.",[]
The more food Mary knows a man that eats the poorer she gets.,[]
The fatter he goes to a doctor when he gets the more he eats.,[]
"The fatter that that he gets bothers him, the more he eats.","[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['that']}]"
"The more books I ask to whom he will give, the more he reads.","[{'ruleId': 'ASK_TO', 'message': 'This looks like a collocation error. You do not need a preposition after “ask”.', 'suggestions': ['ask']}]"
The more people I ask what he will give to the more he reads.,[]
The more carefully he knows a man that worded the letter the safer he'll be.,[]
"The more John meets geniuses, the angrier he gets.",[]
"The more people you say that will buy tickets, the happier I'll be.",[]
"The more he eats, the poorer he knows a woman that gets.",[]
"The more he eats, the fatter he goes to a doctor when he gets.",[]
"The more he eats, the fatter that that he gets really bothers me.","[{'ruleId': 'ENGLISH_WORD_REPEAT_RULE', 'message': 'Possible typo: you repeated a word', 'suggestions': ['that']}]"
"The more he reads, the more books I wonder to whom he will give.",[]
"The more he reads, the more people I wonder what he will give to.",[]
"The sooner you call, the more carefully I know a man that will word the letter.",[]
"The richer he gets, the more John meets geniuses.",[]
"The more articles he reads, the fewer people he thinks that will go into linguistics.",[]
The more pictures of John that he buys the more arrogant he becomes.,[]
The man arrived on the train was my brother.,"[{'ruleId': 'ARRIVE_ON_AT_THE_BEACH', 'message': 'The usual preposition after “arrived” is “at”, not “on”. Did you mean “arrived at”?', 'suggestions': ['arrived at']}]"
"The more people everyone who likes pays attention to, the happier we all are.",[]
"The later it gets, the more people everyone who likes pays attention to.",[]
"When Bill smokes, much more does Susan hate him.",[]
"When Bill smokes, all the more Susan hates him.",[]
"You eat the more, the more you want.",[]
"The more you eat, you want the more.",[]
